Operator,Working set,Memory use,MACs
efficientnetv2-s_1/rescaling_1/mul,0 354,3538944,0
efficientnetv2-s_1/rescaling_1/add,354 355,3538944,442368
efficientnetv2-s_1/stem_bn_1/batchnorm/add_1;efficientnetv2-s_1/stem_conv_1/convolution;efficientnetv2-s_1/stem_bn_1/batchnorm/sub,355 356,5308416,23887872
efficientnetv2-s_1/stem_activation_1/Sigmoid,356 357,7077888,0
efficientnetv2-s_1/stem_activation_1/mul_1,356 357 358,10616832,0
efficientnetv2-s_1/block1a_project_bn_1/batchnorm/add_1;efficientnetv2-s_1/block1a_project_conv_1/convolution;efficientnetv2-s_1/block1a_project_bn_1/batchnorm/sub,358 359,7077888,191102976
efficientnetv2-s_1/block1a_project_activation_1/Sigmoid,358 359 360,10616832,0
efficientnetv2-s_1/block1a_project_activation_1/mul_1,358 359 360 361,14155776,0
efficientnetv2-s_1/block1a_add_1/Add,358 361 362,10616832,884736
efficientnetv2-s_1/block1b_project_bn_1/batchnorm/add_1;efficientnetv2-s_1/block1b_project_conv_1/convolution;efficientnetv2-s_1/block1b_project_bn_1/batchnorm/sub,362 363,7077888,191102976
efficientnetv2-s_1/block1b_project_activation_1/Sigmoid,362 363 364,10616832,0
efficientnetv2-s_1/block1b_project_activation_1/mul_1,362 363 364 365,14155776,0
efficientnetv2-s_1/block1b_add_1/Add,362 365 366,10616832,884736
efficientnetv2-s_1/block2a_expand_bn_1/batchnorm/add_1;efficientnetv2-s_1/block2a_expand_conv_1/convolution;efficientnetv2-s_1/block2a_expand_bn_1/batchnorm/sub,366 367,7077888,191102976
efficientnetv2-s_1/block2a_expand_activation_1/Sigmoid,367 368,7077888,0
efficientnetv2-s_1/block2a_expand_activation_1/mul_1,367 368 369,10616832,0
efficientnetv2-s_1/block2a_project_bn_1/batchnorm/add_1;efficientnetv2-s_1/block2a_project_conv_1/convolution;efficientnetv2-s_1/block2a_project_bn_1/batchnorm/sub,369 370,5308416,42467328
efficientnetv2-s_1/block2b_expand_bn_1/batchnorm/add_1;efficientnetv2-s_1/block2b_expand_conv_1/convolution;efficientnetv2-s_1/block2b_expand_bn_1/batchnorm/sub,370 371,8847360,764411904
efficientnetv2-s_1/block2b_expand_activation_1/Sigmoid,370 371 372,15925248,0
efficientnetv2-s_1/block2b_expand_activation_1/mul_1,370 371 372 373,23003136,0
efficientnetv2-s_1/block2b_project_bn_1/batchnorm/add_1;efficientnetv2-s_1/block2b_project_conv_1/convolution;efficientnetv2-s_1/block2b_project_bn_1/batchnorm/sub,370 373 374,10616832,84934656
efficientnetv2-s_1/block2b_add_1/Add,370 374 375,5308416,442368
efficientnetv2-s_1/block2c_expand_bn_1/batchnorm/add_1;efficientnetv2-s_1/block2c_expand_conv_1/convolution;efficientnetv2-s_1/block2c_expand_bn_1/batchnorm/sub,375 376,8847360,764411904
efficientnetv2-s_1/block2c_expand_activation_1/Sigmoid,375 376 377,15925248,0
efficientnetv2-s_1/block2c_expand_activation_1/mul_1,375 376 377 378,23003136,0
efficientnetv2-s_1/block2c_project_bn_1/batchnorm/add_1;efficientnetv2-s_1/block2c_project_conv_1/convolution;efficientnetv2-s_1/block2c_project_bn_1/batchnorm/sub,375 378 379,10616832,84934656
efficientnetv2-s_1/block2c_add_1/Add,375 379 380,5308416,442368
efficientnetv2-s_1/block2d_expand_bn_1/batchnorm/add_1;efficientnetv2-s_1/block2d_expand_conv_1/convolution;efficientnetv2-s_1/block2d_expand_bn_1/batchnorm/sub,380 381,8847360,764411904
efficientnetv2-s_1/block2d_expand_activation_1/Sigmoid,380 381 382,15925248,0
efficientnetv2-s_1/block2d_expand_activation_1/mul_1,380 381 382 383,23003136,0
efficientnetv2-s_1/block2d_project_bn_1/batchnorm/add_1;efficientnetv2-s_1/block2d_project_conv_1/convolution;efficientnetv2-s_1/block2d_project_bn_1/batchnorm/sub,380 383 384,10616832,84934656
efficientnetv2-s_1/block2d_add_1/Add,380 384 385,5308416,442368
efficientnetv2-s_1/block3a_expand_bn_1/batchnorm/add_1;efficientnetv2-s_1/block3a_expand_conv_1/convolution;efficientnetv2-s_1/block3a_expand_bn_1/batchnorm/sub,385 386,3538944,191102976
efficientnetv2-s_1/block3a_expand_activation_1/Sigmoid,386 387,3538944,0
efficientnetv2-s_1/block3a_expand_activation_1/mul_1,386 387 388,5308416,0
efficientnetv2-s_1/block3a_project_bn_1/batchnorm/add_1;efficientnetv2-s_1/block3a_project_conv_1/convolution;efficientnetv2-s_1/block3a_project_bn_1/batchnorm/sub,388 389,2359296,28311552
efficientnetv2-s_1/block3b_expand_bn_1/batchnorm/add_1;efficientnetv2-s_1/block3b_expand_conv_1/convolution;efficientnetv2-s_1/block3b_expand_bn_1/batchnorm/sub,389 390,2949120,339738624
efficientnetv2-s_1/block3b_expand_activation_1/Sigmoid,389 390 391,5308416,0
efficientnetv2-s_1/block3b_expand_activation_1/mul_1,389 390 391 392,7667712,0
efficientnetv2-s_1/block3b_project_bn_1/batchnorm/add_1;efficientnetv2-s_1/block3b_project_conv_1/convolution;efficientnetv2-s_1/block3b_project_bn_1/batchnorm/sub,389 392 393,3538944,37748736
efficientnetv2-s_1/block3b_add_1/Add,389 393 394,1769472,147456
efficientnetv2-s_1/block3c_expand_bn_1/batchnorm/add_1;efficientnetv2-s_1/block3c_expand_conv_1/convolution;efficientnetv2-s_1/block3c_expand_bn_1/batchnorm/sub,394 395,2949120,339738624
efficientnetv2-s_1/block3c_expand_activation_1/Sigmoid,394 395 396,5308416,0
efficientnetv2-s_1/block3c_expand_activation_1/mul_1,394 395 396 397,7667712,0
efficientnetv2-s_1/block3c_project_bn_1/batchnorm/add_1;efficientnetv2-s_1/block3c_project_conv_1/convolution;efficientnetv2-s_1/block3c_project_bn_1/batchnorm/sub,394 397 398,3538944,37748736
efficientnetv2-s_1/block3c_add_1/Add,394 398 399,1769472,147456
efficientnetv2-s_1/block3d_expand_bn_1/batchnorm/add_1;efficientnetv2-s_1/block3d_expand_conv_1/convolution;efficientnetv2-s_1/block3d_expand_bn_1/batchnorm/sub,399 400,2949120,339738624
efficientnetv2-s_1/block3d_expand_activation_1/Sigmoid,399 400 401,5308416,0
efficientnetv2-s_1/block3d_expand_activation_1/mul_1,399 400 401 402,7667712,0
efficientnetv2-s_1/block3d_project_bn_1/batchnorm/add_1;efficientnetv2-s_1/block3d_project_conv_1/convolution;efficientnetv2-s_1/block3d_project_bn_1/batchnorm/sub,399 402 403,3538944,37748736
efficientnetv2-s_1/block3d_add_1/Add,399 403 404,1769472,147456
efficientnetv2-s_1/block4a_expand_bn_1/batchnorm/add_1;efficientnetv2-s_1/block4a_expand_conv_1/convolution;efficientnetv2-s_1/block4a_expand_bn_1/batchnorm/sub,404 405,2949120,37748736
efficientnetv2-s_1/block4a_expand_activation_1/Sigmoid,405 406,4718592,0
efficientnetv2-s_1/block4a_expand_activation_1/mul_1,405 406 407,7077888,0
efficientnetv2-s_1/block4a_bn_1/batchnorm/add_1;efficientnetv2-s_1/block4a_bn_1/batchnorm/mul_1;efficientnetv2-s_1/block4a_dwconv2_1/depthwise;efficientnetv2-s_1/block4a_bn_1/batchnorm/mul;efficientnetv2-s_1/block4a_bn_1/batchnorm/sub,407 408,2949120,1327104
efficientnetv2-s_1/block4a_activation_1/Sigmoid,408 409,1179648,0
efficientnetv2-s_1/block4a_activation_1/mul_1,408 409 410,1769472,0
efficientnetv2-s_1/block4a_se_squeeze_1/Mean,410 411,590848,147456
efficientnetv2-s_1/block4a_se_reshape_1/Shape,410 411 412,590856,0
efficientnetv2-s_1/block4a_se_reshape_1/strided_slice,410 411 412 413,590860,0
efficientnetv2-s_1/block4a_se_reshape_1/Reshape/shape,410 411 413 414,590868,0
efficientnetv2-s_1/block4a_se_reshape_1/Reshape,410 411 414 415,591888,0
efficientnetv2-s_1/block4a_se_reduce_1/BiasAdd;efficientnetv2-s_1/block4a_se_reduce_1/convolution;efficientnetv2-s_1/block4a_se_reduce_1/Squeeze,410 415 416,590912,4096
efficientnetv2-s_1/block4a_se_reduce_1/Sigmoid,410 416 417,589952,0
efficientnetv2-s_1/block4a_se_reduce_1/mul_1,410 416 417 418,590016,0
efficientnetv2-s_1/block4a_se_expand_1/BiasAdd;efficientnetv2-s_1/block4a_se_expand_1/convolution;efficientnetv2-s_1/block4a_se_expand_1/Squeeze,410 418 419,590912,4096
efficientnetv2-s_1/block4a_se_expand_1/Sigmoid,410 419 420,591872,0
efficientnetv2-s_1/block4a_se_excite_1/Mul,410 420 421,1180672,0
efficientnetv2-s_1/block4a_project_bn_1/batchnorm/add_1;efficientnetv2-s_1/block4a_project_conv_1/convolution;efficientnetv2-s_1/block4a_project_bn_1/batchnorm/sub,421 422,884736,18874368
efficientnetv2-s_1/block4b_expand_bn_1/batchnorm/add_1;efficientnetv2-s_1/block4b_expand_conv_1/convolution;efficientnetv2-s_1/block4b_expand_bn_1/batchnorm/sub,422 423,1474560,37748736
efficientnetv2-s_1/block4b_expand_activation_1/Sigmoid,422 423 424,2654208,0
efficientnetv2-s_1/block4b_expand_activation_1/mul_1,422 423 424 425,3833856,0
efficientnetv2-s_1/block4b_bn_1/batchnorm/add_1;efficientnetv2-s_1/block4b_bn_1/batchnorm/mul_1;efficientnetv2-s_1/block4b_dwconv2_1/depthwise;efficientnetv2-s_1/block4b_bn_1/batchnorm/mul;efficientnetv2-s_1/block4b_bn_1/batchnorm/sub,422 425 426,2654208,2654208
efficientnetv2-s_1/block4b_activation_1/Sigmoid,422 426 427,2654208,0
efficientnetv2-s_1/block4b_activation_1/mul_1,422 426 427 428,3833856,0
efficientnetv2-s_1/block4b_se_squeeze_1/Mean,422 428 429,1476608,294912
efficientnetv2-s_1/block4b_se_reshape_1/Shape,422 428 429 430,1476616,0
efficientnetv2-s_1/block4b_se_reshape_1/strided_slice,422 428 429 430 431,1476620,0
efficientnetv2-s_1/block4b_se_reshape_1/Reshape/shape,422 428 429 431 432,1476628,0
efficientnetv2-s_1/block4b_se_reshape_1/Reshape,422 428 429 432 433,1478672,0
efficientnetv2-s_1/block4b_se_reduce_1/BiasAdd;efficientnetv2-s_1/block4b_se_reduce_1/convolution;efficientnetv2-s_1/block4b_se_reduce_1/Squeeze,422 428 433 434,1476736,16384
efficientnetv2-s_1/block4b_se_reduce_1/Sigmoid,422 428 434 435,1474816,0
efficientnetv2-s_1/block4b_se_reduce_1/mul_1,422 428 434 435 436,1474944,0
efficientnetv2-s_1/block4b_se_expand_1/BiasAdd;efficientnetv2-s_1/block4b_se_expand_1/convolution;efficientnetv2-s_1/block4b_se_expand_1/Squeeze,422 428 436 437,1476736,16384
efficientnetv2-s_1/block4b_se_expand_1/Sigmoid,422 428 437 438,1478656,0
