Id,Name,Shape,Size
0,serving_default_keras_tensor:0,1 384 384 3,1769472
354,efficientnetv2-s_1/rescaling_1/mul,1 384 384 3,1769472
355,efficientnetv2-s_1/rescaling_1/add,1 384 384 3,1769472
356,efficientnetv2-s_1/stem_bn_1/batchnorm/add_1;efficientnetv2-s_1/stem_conv_1/convolution;efficientnetv2-s_1/stem_bn_1/batchnorm/sub,1 192 192 24,3538944
357,efficientnetv2-s_1/stem_activation_1/Sigmoid,1 192 192 24,3538944
358,efficientnetv2-s_1/stem_activation_1/mul_1,1 192 192 24,3538944
359,efficientnetv2-s_1/block1a_project_bn_1/batchnorm/add_1;efficientnetv2-s_1/block1a_project_conv_1/convolution;efficientnetv2-s_1/block1a_project_bn_1/batchnorm/sub,1 192 192 24,3538944
360,efficientnetv2-s_1/block1a_project_activation_1/Sigmoid,1 192 192 24,3538944
361,efficientnetv2-s_1/block1a_project_activation_1/mul_1,1 192 192 24,3538944
362,efficientnetv2-s_1/block1a_add_1/Add,1 192 192 24,3538944
363,efficientnetv2-s_1/block1b_project_bn_1/batchnorm/add_1;efficientnetv2-s_1/block1b_project_conv_1/convolution;efficientnetv2-s_1/block1b_project_bn_1/batchnorm/sub,1 192 192 24,3538944
364,efficientnetv2-s_1/block1b_project_activation_1/Sigmoid,1 192 192 24,3538944
365,efficientnetv2-s_1/block1b_project_activation_1/mul_1,1 192 192 24,3538944
366,efficientnetv2-s_1/block1b_add_1/Add,1 192 192 24,3538944
367,efficientnetv2-s_1/block2a_expand_bn_1/batchnorm/add_1;efficientnetv2-s_1/block2a_expand_conv_1/convolution;efficientnetv2-s_1/block2a_expand_bn_1/batchnorm/sub,1 96 96 96,3538944
368,efficientnetv2-s_1/block2a_expand_activation_1/Sigmoid,1 96 96 96,3538944
369,efficientnetv2-s_1/block2a_expand_activation_1/mul_1,1 96 96 96,3538944
370,efficientnetv2-s_1/block2a_project_bn_1/batchnorm/add_1;efficientnetv2-s_1/block2a_project_conv_1/convolution;efficientnetv2-s_1/block2a_project_bn_1/batchnorm/sub,1 96 96 48,1769472
371,efficientnetv2-s_1/block2b_expand_bn_1/batchnorm/add_1;efficientnetv2-s_1/block2b_expand_conv_1/convolution;efficientnetv2-s_1/block2b_expand_bn_1/batchnorm/sub,1 96 96 192,7077888
372,efficientnetv2-s_1/block2b_expand_activation_1/Sigmoid,1 96 96 192,7077888
373,efficientnetv2-s_1/block2b_expand_activation_1/mul_1,1 96 96 192,7077888
374,efficientnetv2-s_1/block2b_project_bn_1/batchnorm/add_1;efficientnetv2-s_1/block2b_project_conv_1/convolution;efficientnetv2-s_1/block2b_project_bn_1/batchnorm/sub,1 96 96 48,1769472
375,efficientnetv2-s_1/block2b_add_1/Add,1 96 96 48,1769472
376,efficientnetv2-s_1/block2c_expand_bn_1/batchnorm/add_1;efficientnetv2-s_1/block2c_expand_conv_1/convolution;efficientnetv2-s_1/block2c_expand_bn_1/batchnorm/sub,1 96 96 192,7077888
