------------------------------------------------------------------------------------------------
Benchmark                                      Time             CPU   Iterations UserCounters...
------------------------------------------------------------------------------------------------
BM_main/process_time/real_time              9.23 ms         41.4 ms          836 items_per_second=108.354/s
BM_main/process_time/real_time              8.96 ms         41.7 ms          836 items_per_second=111.652/s
BM_main/process_time/real_time              9.50 ms         41.4 ms          836 items_per_second=105.252/s
BM_main/process_time/real_time              8.89 ms         41.6 ms          836 items_per_second=112.461/s
BM_main/process_time/real_time              8.40 ms         41.9 ms          836 items_per_second=119.058/s
BM_main/process_time/real_time              9.03 ms         41.5 ms          836 items_per_second=110.762/s
BM_main/process_time/real_time              9.27 ms         41.4 ms          836 items_per_second=107.873/s
BM_main/process_time/real_time              9.22 ms         41.4 ms          836 items_per_second=108.412/s
BM_main/process_time/real_time              9.33 ms         41.4 ms          836 items_per_second=107.208/s
BM_main/process_time/real_time              8.82 ms         41.7 ms          836 items_per_second=113.326/s
BM_main/process_time/real_time              9.41 ms         41.4 ms          836 items_per_second=106.215/s
BM_main/process_time/real_time              9.22 ms         41.5 ms          836 items_per_second=108.404/s
BM_main/process_time/real_time              8.93 ms         41.6 ms          836 items_per_second=111.994/s
BM_main/process_time/real_time              8.67 ms         41.8 ms          836 items_per_second=115.366/s
BM_main/process_time/real_time              9.26 ms         41.5 ms          836 items_per_second=107.957/s
BM_main/process_time/real_time              9.37 ms         41.4 ms          836 items_per_second=106.702/s
BM_main/process_time/real_time              9.32 ms         41.4 ms          836 items_per_second=107.341/s
BM_main/process_time/real_time              8.71 ms         41.8 ms          836 items_per_second=114.802/s
BM_main/process_time/real_time              9.40 ms         41.5 ms          836 items_per_second=106.375/s
BM_main/process_time/real_time              9.35 ms         41.4 ms          836 items_per_second=106.991/s
BM_main/process_time/real_time              9.21 ms         41.5 ms          836 items_per_second=108.581/s
BM_main/process_time/real_time              8.91 ms         41.7 ms          836 items_per_second=112.257/s
BM_main/process_time/real_time              9.38 ms         41.4 ms          836 items_per_second=106.597/s
BM_main/process_time/real_time              9.19 ms         41.5 ms          836 items_per_second=108.872/s
BM_main/process_time/real_time              9.37 ms         41.6 ms          836 items_per_second=106.698/s
BM_main/process_time/real_time              8.62 ms         41.8 ms          836 items_per_second=116.01/s
BM_main/process_time/real_time              9.05 ms         41.6 ms          836 items_per_second=110.469/s
BM_main/process_time/real_time              9.32 ms         41.4 ms          836 items_per_second=107.278/s
BM_main/process_time/real_time              8.82 ms         41.7 ms          836 items_per_second=113.368/s
BM_main/process_time/real_time              8.91 ms         41.6 ms          836 items_per_second=112.251/s
BM_main/process_time/real_time              9.01 ms         41.6 ms          836 items_per_second=110.972/s
BM_main/process_time/real_time              8.91 ms         41.7 ms          836 items_per_second=112.179/s
BM_main/process_time/real_time              9.29 ms         41.4 ms          836 items_per_second=107.659/s
BM_main/process_time/real_time              9.43 ms         41.4 ms          836 items_per_second=106.014/s
BM_main/process_time/real_time              9.36 ms         41.4 ms          836 items_per_second=106.832/s
BM_main/process_time/real_time              9.28 ms         41.4 ms          836 items_per_second=107.761/s
BM_main/process_time/real_time              9.21 ms         41.5 ms          836 items_per_second=108.606/s
BM_main/process_time/real_time              8.67 ms         41.8 ms          836 items_per_second=115.354/s
BM_main/process_time/real_time              8.72 ms         41.7 ms          836 items_per_second=114.731/s
BM_main/process_time/real_time              9.23 ms         41.4 ms          836 items_per_second=108.355/s
BM_main/process_time/real_time              8.97 ms         41.7 ms          836 items_per_second=111.534/s
BM_main/process_time/real_time              8.81 ms         41.8 ms          836 items_per_second=113.499/s
BM_main/process_time/real_time              8.90 ms         41.7 ms          836 items_per_second=112.33/s
BM_main/process_time/real_time              9.38 ms         41.4 ms          836 items_per_second=106.563/s
BM_main/process_time/real_time              8.92 ms         41.6 ms          836 items_per_second=112.051/s
BM_main/process_time/real_time              9.13 ms         41.5 ms          836 items_per_second=109.52/s
BM_main/process_time/real_time              8.92 ms         41.6 ms          836 items_per_second=112.129/s
BM_main/process_time/real_time              9.24 ms         41.4 ms          836 items_per_second=108.282/s
BM_main/process_time/real_time              9.25 ms         41.4 ms          836 items_per_second=108.065/s
BM_main/process_time/real_time              8.67 ms         41.8 ms          836 items_per_second=115.304/s
BM_main/process_time/real_time_mean         9.09 ms         41.6 ms           50 items_per_second=110.133/s
BM_main/process_time/real_time_median       9.20 ms         41.5 ms           50 items_per_second=108.739/s
BM_main/process_time/real_time_stddev      0.265 ms        0.149 ms           50 items_per_second=3.26752/s
BM_main/process_time/real_time_cv           2.92 %          0.36 %            50 items_per_second=2.97%
