Operator,Working set,Memory use,MACs
MobileNetV3Large_1/rescaling_1/mul,0 136,24,0
MobileNetV3Large_1/rescaling_1/add,136 137,24,3
MobileNetV3Large_1/conv_bn_1/batchnorm/add_1;MobileNetV3Large_1/conv_1/convolution;,137 138,76,432
MobileNetV3Large_1/activation_1/mul;;MobileNetV3Large_1/activation_1/Relu6;MobileNetV3Large_1/activation_1/add;MobileNetV3Large_1/activation_1/truediv,138 139,128,0
MobileNetV3Large_1/re_lu_1/Relu;MobileNetV3Large_1/expanded_conv_depthwise_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_depthwise_bn_1/batchnorm/mul_1;MobileNetV3Large_1/expanded_conv_depthwise_1/depthwise;,139 140,128,144
MobileNetV3Large_1/expanded_conv_project_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_project_1/convolution;,139 140 141,192,256
MobileNetV3Large_1/expanded_conv_add_1/Add,139 141 142,192,16
MobileNetV3Large_1/re_lu_1_2/Relu;MobileNetV3Large_1/expanded_conv_1_expand_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_1_expand_1/convolution;,142 143,320,1024
MobileNetV3Large_1/expanded_conv_1_depthwise_pad_1/Pad,143 144,512,0
MobileNetV3Large_1/re_lu_2_1/Relu;MobileNetV3Large_1/expanded_conv_1_depthwise_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_1_depthwise_bn_1/batchnorm/mul_1;MobileNetV3Large_1/expanded_conv_1_depthwise_1/depthwise;,144 145,512,576
MobileNetV3Large_1/expanded_conv_1_project_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_1_project_1/convolution;,145 146,352,1536
MobileNetV3Large_1/re_lu_3_1/Relu;MobileNetV3Large_1/expanded_conv_2_expand_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_2_expand_1/convolution;,146 147,384,1728
MobileNetV3Large_1/re_lu_4_1/Relu;MobileNetV3Large_1/expanded_conv_2_depthwise_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_2_depthwise_bn_1/batchnorm/mul_1;MobileNetV3Large_1/expanded_conv_2_depthwise_1/depthwise;,146 147 148,672,648
MobileNetV3Large_1/expanded_conv_2_project_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_2_project_1/convolution;,146 148 149,480,1728
MobileNetV3Large_1/expanded_conv_2_add_1/Add,146 149 150,288,24
MobileNetV3Large_1/re_lu_5_1/Relu;MobileNetV3Large_1/expanded_conv_3_expand_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_3_expand_1/convolution;,150 151,384,1728
MobileNetV3Large_1/expanded_conv_3_depthwise_pad_1/Pad,151 152,576,0
MobileNetV3Large_1/re_lu_6_1/Relu;MobileNetV3Large_1/expanded_conv_3_depthwise_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_3_depthwise_bn_1/batchnorm/mul_1;MobileNetV3Large_1/expanded_conv_3_depthwise_1/depthwise;,152 153,576,1800
MobileNetV3Large_1/expanded_conv_3_squeeze_excite_avg_pool_1/Mean,153 154,576,72
MobileNetV3Large_1/expanded_conv_3_squeeze_excite_relu_1/Relu;MobileNetV3Large_1/expanded_conv_3_squeeze_excite_conv_1/BiasAdd;MobileNetV3Large_1/expanded_conv_3_squeeze_excite_conv_1/convolution;,153 154 155,672,1728
MobileNetV3Large_1/re_lu_7_1/Relu6;MobileNetV3Large_1/Add;MobileNetV3Large_1/expanded_conv_3_squeeze_excite_conv_1_2/BiasAdd;MobileNetV3Large_1/expanded_conv_3_squeeze_excite_conv_1_2/convolution;,153 155 156,672,1728
MobileNetV3Large_1/Mul,153 156 157,864,0
MobileNetV3Large_1/expanded_conv_3_squeeze_excite_mul_1/Mul,153 157 158,864,0
MobileNetV3Large_1/expanded_conv_3_project_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_3_project_1/convolution;,158 159,448,2880
MobileNetV3Large_1/re_lu_8_1/Relu;MobileNetV3Large_1/expanded_conv_4_expand_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_4_expand_1/convolution;,159 160,640,4800
MobileNetV3Large_1/re_lu_9_1/Relu;MobileNetV3Large_1/expanded_conv_4_depthwise_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_4_depthwise_bn_1/batchnorm/mul_1;MobileNetV3Large_1/expanded_conv_4_depthwise_1/depthwise;,159 160 161,1120,3000
MobileNetV3Large_1/expanded_conv_4_squeeze_excite_avg_pool_1/Mean,159 161 162,1120,120
MobileNetV3Large_1/expanded_conv_4_squeeze_excite_relu_1/Relu;MobileNetV3Large_1/expanded_conv_4_squeeze_excite_conv_1/BiasAdd;MobileNetV3Large_1/expanded_conv_4_squeeze_excite_conv_1/convolution;,159 161 162 163,1248,3840
MobileNetV3Large_1/re_lu_10_1/Relu6;MobileNetV3Large_1/Add_1;MobileNetV3Large_1/expanded_conv_4_squeeze_excite_conv_1_2/BiasAdd;MobileNetV3Large_1/expanded_conv_4_squeeze_excite_conv_1_2/convolution;,159 161 163 164,1248,3840
MobileNetV3Large_1/Mul_1,159 161 164 165,1600,0
MobileNetV3Large_1/expanded_conv_4_squeeze_excite_mul_1/Mul,159 161 165 166,1600,0
MobileNetV3Large_1/expanded_conv_4_project_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_4_project_1/convolution;,159 166 167,800,4800
MobileNetV3Large_1/expanded_conv_4_add_1/Add,159 167 168,480,40
MobileNetV3Large_1/re_lu_11_1/Relu;MobileNetV3Large_1/expanded_conv_5_expand_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_5_expand_1/convolution;,168 169,640,4800
MobileNetV3Large_1/re_lu_12_1/Relu;MobileNetV3Large_1/expanded_conv_5_depthwise_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_5_depthwise_bn_1/batchnorm/mul_1;MobileNetV3Large_1/expanded_conv_5_depthwise_1/depthwise;,168 169 170,1120,3000
MobileNetV3Large_1/expanded_conv_5_squeeze_excite_avg_pool_1/Mean,168 170 171,1120,120
MobileNetV3Large_1/expanded_conv_5_squeeze_excite_relu_1/Relu;MobileNetV3Large_1/expanded_conv_5_squeeze_excite_conv_1/BiasAdd;MobileNetV3Large_1/expanded_conv_5_squeeze_excite_conv_1/convolution;,168 170 171 172,1248,3840
MobileNetV3Large_1/re_lu_13_1/Relu6;MobileNetV3Large_1/Add_2;MobileNetV3Large_1/expanded_conv_5_squeeze_excite_conv_1_2/BiasAdd;MobileNetV3Large_1/expanded_conv_5_squeeze_excite_conv_1_2/convolution;,168 170 172 173,1248,3840
MobileNetV3Large_1/Mul_2,168 170 173 174,1600,0
MobileNetV3Large_1/expanded_conv_5_squeeze_excite_mul_1/Mul,168 170 174 175,1600,0
