Id,Name,Shape,Size
0,serving_default_keras_tensor:0,1 1 1 3,12
136,MobileNetV3Large_1/rescaling_1/mul,1 1 1 3,12
137,MobileNetV3Large_1/rescaling_1/add,1 1 1 3,12
138,MobileNetV3Large_1/conv_bn_1/batchnorm/add_1;MobileNetV3Large_1/conv_1/convolution;,1 1 1 16,64
139,MobileNetV3Large_1/activation_1/mul;;MobileNetV3Large_1/activation_1/Relu6;MobileNetV3Large_1/activation_1/add;MobileNetV3Large_1/activation_1/truediv,1 1 1 16,64
140,MobileNetV3Large_1/re_lu_1/Relu;MobileNetV3Large_1/expanded_conv_depthwise_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_depthwise_bn_1/batchnorm/mul_1;MobileNetV3Large_1/expanded_conv_depthwise_1/depthwise;,1 1 1 16,64
141,MobileNetV3Large_1/expanded_conv_project_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_project_1/convolution;,1 1 1 16,64
142,MobileNetV3Large_1/expanded_conv_add_1/Add,1 1 1 16,64
143,MobileNetV3Large_1/re_lu_1_2/Relu;MobileNetV3Large_1/expanded_conv_1_expand_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_1_expand_1/convolution;,1 1 1 64,256
144,MobileNetV3Large_1/expanded_conv_1_depthwise_pad_1/Pad,1 1 1 64,256
145,MobileNetV3Large_1/re_lu_2_1/Relu;MobileNetV3Large_1/expanded_conv_1_depthwise_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_1_depthwise_bn_1/batchnorm/mul_1;MobileNetV3Large_1/expanded_conv_1_depthwise_1/depthwise;,1 1 1 64,256
146,MobileNetV3Large_1/expanded_conv_1_project_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_1_project_1/convolution;,1 1 1 24,96
147,MobileNetV3Large_1/re_lu_3_1/Relu;MobileNetV3Large_1/expanded_conv_2_expand_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_2_expand_1/convolution;,1 1 1 72,288
148,MobileNetV3Large_1/re_lu_4_1/Relu;MobileNetV3Large_1/expanded_conv_2_depthwise_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_2_depthwise_bn_1/batchnorm/mul_1;MobileNetV3Large_1/expanded_conv_2_depthwise_1/depthwise;,1 1 1 72,288
149,MobileNetV3Large_1/expanded_conv_2_project_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_2_project_1/convolution;,1 1 1 24,96
150,MobileNetV3Large_1/expanded_conv_2_add_1/Add,1 1 1 24,96
151,MobileNetV3Large_1/re_lu_5_1/Relu;MobileNetV3Large_1/expanded_conv_3_expand_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_3_expand_1/convolution;,1 1 1 72,288
152,MobileNetV3Large_1/expanded_conv_3_depthwise_pad_1/Pad,1 1 1 72,288
153,MobileNetV3Large_1/re_lu_6_1/Relu;MobileNetV3Large_1/expanded_conv_3_depthwise_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_3_depthwise_bn_1/batchnorm/mul_1;MobileNetV3Large_1/expanded_conv_3_depthwise_1/depthwise;,1 1 1 72,288
154,MobileNetV3Large_1/expanded_conv_3_squeeze_excite_avg_pool_1/Mean,1 1 1 72,288
155,MobileNetV3Large_1/expanded_conv_3_squeeze_excite_relu_1/Relu;MobileNetV3Large_1/expanded_conv_3_squeeze_excite_conv_1/BiasAdd;MobileNetV3Large_1/expanded_conv_3_squeeze_excite_conv_1/convolution;,1 1 1 24,96
156,MobileNetV3Large_1/re_lu_7_1/Relu6;MobileNetV3Large_1/Add;MobileNetV3Large_1/expanded_conv_3_squeeze_excite_conv_1_2/BiasAdd;MobileNetV3Large_1/expanded_conv_3_squeeze_excite_conv_1_2/convolution;,1 1 1 72,288
157,MobileNetV3Large_1/Mul,1 1 1 72,288
158,MobileNetV3Large_1/expanded_conv_3_squeeze_excite_mul_1/Mul,1 1 1 72,288
159,MobileNetV3Large_1/expanded_conv_3_project_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_3_project_1/convolution;,1 1 1 40,160
160,MobileNetV3Large_1/re_lu_8_1/Relu;MobileNetV3Large_1/expanded_conv_4_expand_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_4_expand_1/convolution;,1 1 1 120,480
161,MobileNetV3Large_1/re_lu_9_1/Relu;MobileNetV3Large_1/expanded_conv_4_depthwise_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_4_depthwise_bn_1/batchnorm/mul_1;MobileNetV3Large_1/expanded_conv_4_depthwise_1/depthwise;,1 1 1 120,480
162,MobileNetV3Large_1/expanded_conv_4_squeeze_excite_avg_pool_1/Mean,1 1 1 120,480
163,MobileNetV3Large_1/expanded_conv_4_squeeze_excite_relu_1/Relu;MobileNetV3Large_1/expanded_conv_4_squeeze_excite_conv_1/BiasAdd;MobileNetV3Large_1/expanded_conv_4_squeeze_excite_conv_1/convolution;,1 1 1 32,128
164,MobileNetV3Large_1/re_lu_10_1/Relu6;MobileNetV3Large_1/Add_1;MobileNetV3Large_1/expanded_conv_4_squeeze_excite_conv_1_2/BiasAdd;MobileNetV3Large_1/expanded_conv_4_squeeze_excite_conv_1_2/convolution;,1 1 1 120,480
165,MobileNetV3Large_1/Mul_1,1 1 1 120,480
166,MobileNetV3Large_1/expanded_conv_4_squeeze_excite_mul_1/Mul,1 1 1 120,480
167,MobileNetV3Large_1/expanded_conv_4_project_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_4_project_1/convolution;,1 1 1 40,160
168,MobileNetV3Large_1/expanded_conv_4_add_1/Add,1 1 1 40,160
169,MobileNetV3Large_1/re_lu_11_1/Relu;MobileNetV3Large_1/expanded_conv_5_expand_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_5_expand_1/convolution;,1 1 1 120,480
170,MobileNetV3Large_1/re_lu_12_1/Relu;MobileNetV3Large_1/expanded_conv_5_depthwise_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_5_depthwise_bn_1/batchnorm/mul_1;MobileNetV3Large_1/expanded_conv_5_depthwise_1/depthwise;,1 1 1 120,480
171,MobileNetV3Large_1/expanded_conv_5_squeeze_excite_avg_pool_1/Mean,1 1 1 120,480
172,MobileNetV3Large_1/expanded_conv_5_squeeze_excite_relu_1/Relu;MobileNetV3Large_1/expanded_conv_5_squeeze_excite_conv_1/BiasAdd;MobileNetV3Large_1/expanded_conv_5_squeeze_excite_conv_1/convolution;,1 1 1 32,128
173,MobileNetV3Large_1/re_lu_13_1/Relu6;MobileNetV3Large_1/Add_2;MobileNetV3Large_1/expanded_conv_5_squeeze_excite_conv_1_2/BiasAdd;MobileNetV3Large_1/expanded_conv_5_squeeze_excite_conv_1_2/convolution;,1 1 1 120,480
174,MobileNetV3Large_1/Mul_2,1 1 1 120,480
175,MobileNetV3Large_1/expanded_conv_5_squeeze_excite_mul_1/Mul,1 1 1 120,480
176,MobileNetV3Large_1/expanded_conv_5_project_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_5_project_1/convolution;,1 1 1 40,160
177,MobileNetV3Large_1/expanded_conv_5_add_1/Add,1 1 1 40,160
178,MobileNetV3Large_1/expanded_conv_6_expand_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_6_expand_1/convolution;,1 1 1 240,960
179,MobileNetV3Large_1/activation_1_2/mul;;MobileNetV3Large_1/activation_1_2/Relu6;MobileNetV3Large_1/activation_1_2/add;MobileNetV3Large_1/activation_1_2/truediv,1 1 1 240,960
180,MobileNetV3Large_1/expanded_conv_6_depthwise_pad_1/Pad,1 1 1 240,960
181,MobileNetV3Large_1/expanded_conv_6_depthwise_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_6_depthwise_bn_1/batchnorm/mul_1;MobileNetV3Large_1/expanded_conv_6_depthwise_1/depthwise;,1 1 1 240,960
182,MobileNetV3Large_1/activation_2_1/mul;;MobileNetV3Large_1/activation_2_1/Relu6;MobileNetV3Large_1/activation_2_1/add;MobileNetV3Large_1/activation_2_1/truediv,1 1 1 240,960
183,MobileNetV3Large_1/expanded_conv_6_project_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_6_project_1/convolution;,1 1 1 80,320
184,MobileNetV3Large_1/expanded_conv_7_expand_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_7_expand_1/convolution;,1 1 1 200,800
185,MobileNetV3Large_1/activation_3_1/mul;;MobileNetV3Large_1/activation_3_1/Relu6;MobileNetV3Large_1/activation_3_1/add;MobileNetV3Large_1/activation_3_1/truediv,1 1 1 200,800
