Operator,Working set,Memory use,MACs
MobileNetV3Small_1/rescaling_1/mul,0 116,24,0
MobileNetV3Small_1/rescaling_1/add,116 117,24,3
MobileNetV3Small_1/conv_bn_1/batchnorm/add_1;MobileNetV3Small_1/conv_1/convolution;,117 118,76,432
MobileNetV3Small_1/activation_1/mul;;MobileNetV3Small_1/activation_1/Relu6;MobileNetV3Small_1/activation_1/add;MobileNetV3Small_1/activation_1/truediv,118 119,128,0
MobileNetV3Small_1/expanded_conv_depthwise_pad_1/Pad,119 120,128,0
MobileNetV3Small_1/re_lu_1/Relu;MobileNetV3Small_1/expanded_conv_depthwise_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_depthwise_bn_1/batchnorm/mul_1;MobileNetV3Small_1/expanded_conv_depthwise_1/depthwise;,120 121,128,144
MobileNetV3Small_1/expanded_conv_squeeze_excite_avg_pool_1/Mean,121 122,128,16
MobileNetV3Small_1/expanded_conv_squeeze_excite_relu_1/Relu;MobileNetV3Small_1/expanded_conv_squeeze_excite_conv_1/BiasAdd;MobileNetV3Small_1/expanded_conv_squeeze_excite_conv_1/convolution;,121 122 123,160,128
MobileNetV3Small_1/re_lu_1_2/Relu6;MobileNetV3Small_1/Add;MobileNetV3Small_1/expanded_conv_squeeze_excite_conv_1_2/BiasAdd;MobileNetV3Small_1/expanded_conv_squeeze_excite_conv_1_2/convolution;,121 123 124,160,128
MobileNetV3Small_1/Mul,121 124 125,192,0
MobileNetV3Small_1/expanded_conv_squeeze_excite_mul_1/Mul,121 125 126,192,0
MobileNetV3Small_1/expanded_conv_project_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_project_1/convolution;,126 127,128,256
MobileNetV3Small_1/re_lu_2_1/Relu;MobileNetV3Small_1/expanded_conv_1_expand_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_1_expand_1/convolution;,127 128,352,1152
MobileNetV3Small_1/expanded_conv_1_depthwise_pad_1/Pad,128 129,576,0
MobileNetV3Small_1/re_lu_3_1/Relu;MobileNetV3Small_1/expanded_conv_1_depthwise_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_1_depthwise_bn_1/batchnorm/mul_1;MobileNetV3Small_1/expanded_conv_1_depthwise_1/depthwise;,129 130,576,648
MobileNetV3Small_1/expanded_conv_1_project_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_1_project_1/convolution;,130 131,384,1728
MobileNetV3Small_1/re_lu_4_1/Relu;MobileNetV3Small_1/expanded_conv_2_expand_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_2_expand_1/convolution;,131 132,448,2112
MobileNetV3Small_1/re_lu_5_1/Relu;MobileNetV3Small_1/expanded_conv_2_depthwise_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_2_depthwise_bn_1/batchnorm/mul_1;MobileNetV3Small_1/expanded_conv_2_depthwise_1/depthwise;,131 132 133,800,792
MobileNetV3Small_1/expanded_conv_2_project_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_2_project_1/convolution;,131 133 134,544,2112
MobileNetV3Small_1/expanded_conv_2_add_1/Add,131 134 135,288,24
MobileNetV3Small_1/expanded_conv_3_expand_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_3_expand_1/convolution;,135 136,480,2304
MobileNetV3Small_1/activation_1_2/mul;;MobileNetV3Small_1/activation_1_2/Relu6;MobileNetV3Small_1/activation_1_2/add;MobileNetV3Small_1/activation_1_2/truediv,136 137,768,0
MobileNetV3Small_1/expanded_conv_3_depthwise_pad_1/Pad,137 138,768,0
MobileNetV3Small_1/expanded_conv_3_depthwise_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_3_depthwise_bn_1/batchnorm/mul_1;MobileNetV3Small_1/expanded_conv_3_depthwise_1/depthwise;,138 139,768,2400
MobileNetV3Small_1/activation_2_1/mul;;MobileNetV3Small_1/activation_2_1/Relu6;MobileNetV3Small_1/activation_2_1/add;MobileNetV3Small_1/activation_2_1/truediv,139 140,768,0
MobileNetV3Small_1/expanded_conv_3_squeeze_excite_avg_pool_1/Mean,140 141,768,96
MobileNetV3Small_1/expanded_conv_3_squeeze_excite_relu_1/Relu;MobileNetV3Small_1/expanded_conv_3_squeeze_excite_conv_1/BiasAdd;MobileNetV3Small_1/expanded_conv_3_squeeze_excite_conv_1/convolution;,140 141 142,864,2304
MobileNetV3Small_1/re_lu_6_1/Relu6;MobileNetV3Small_1/Add_1;MobileNetV3Small_1/expanded_conv_3_squeeze_excite_conv_1_2/BiasAdd;MobileNetV3Small_1/expanded_conv_3_squeeze_excite_conv_1_2/convolution;,140 142 143,864,2304
MobileNetV3Small_1/Mul_1,140 143 144,1152,0
MobileNetV3Small_1/expanded_conv_3_squeeze_excite_mul_1/Mul,140 144 145,1152,0
MobileNetV3Small_1/expanded_conv_3_project_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_3_project_1/convolution;,145 146,544,3840
MobileNetV3Small_1/expanded_conv_4_expand_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_4_expand_1/convolution;,146 147,1120,9600
MobileNetV3Small_1/activation_3_1/mul;;MobileNetV3Small_1/activation_3_1/Relu6;MobileNetV3Small_1/activation_3_1/add;MobileNetV3Small_1/activation_3_1/truediv,146 147 148,2080,0
MobileNetV3Small_1/expanded_conv_4_depthwise_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_4_depthwise_bn_1/batchnorm/mul_1;MobileNetV3Small_1/expanded_conv_4_depthwise_1/depthwise;,146 148 149,2080,6000
MobileNetV3Small_1/activation_4_1/mul;;MobileNetV3Small_1/activation_4_1/Relu6;MobileNetV3Small_1/activation_4_1/add;MobileNetV3Small_1/activation_4_1/truediv,146 149 150,2080,0
MobileNetV3Small_1/expanded_conv_4_squeeze_excite_avg_pool_1/Mean,146 150 151,2080,240
MobileNetV3Small_1/expanded_conv_4_squeeze_excite_relu_1/Relu;MobileNetV3Small_1/expanded_conv_4_squeeze_excite_conv_1/BiasAdd;MobileNetV3Small_1/expanded_conv_4_squeeze_excite_conv_1/convolution;,146 150 151 152,2336,15360
MobileNetV3Small_1/re_lu_7_1/Relu6;MobileNetV3Small_1/Add_2;MobileNetV3Small_1/expanded_conv_4_squeeze_excite_conv_1_2/BiasAdd;MobileNetV3Small_1/expanded_conv_4_squeeze_excite_conv_1_2/convolution;,146 150 152 153,2336,15360
MobileNetV3Small_1/Mul_2,146 150 153 154,3040,0
MobileNetV3Small_1/expanded_conv_4_squeeze_excite_mul_1/Mul,146 150 154 155,3040,0
MobileNetV3Small_1/expanded_conv_4_project_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_4_project_1/convolution;,146 155 156,1280,9600
MobileNetV3Small_1/expanded_conv_4_add_1/Add,146 156 157,480,40
MobileNetV3Small_1/expanded_conv_5_expand_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_5_expand_1/convolution;,157 158,1120,9600
MobileNetV3Small_1/activation_5_1/mul;;MobileNetV3Small_1/activation_5_1/Relu6;MobileNetV3Small_1/activation_5_1/add;MobileNetV3Small_1/activation_5_1/truediv,157 158 159,2080,0
MobileNetV3Small_1/expanded_conv_5_depthwise_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_5_depthwise_bn_1/batchnorm/mul_1;MobileNetV3Small_1/expanded_conv_5_depthwise_1/depthwise;,157 159 160,2080,6000
MobileNetV3Small_1/activation_6_1/mul;;MobileNetV3Small_1/activation_6_1/Relu6;MobileNetV3Small_1/activation_6_1/add;MobileNetV3Small_1/activation_6_1/truediv,157 161 160,2080,0
MobileNetV3Small_1/expanded_conv_5_squeeze_excite_avg_pool_1/Mean,157 161 162,2080,240
MobileNetV3Small_1/expanded_conv_5_squeeze_excite_relu_1/Relu;MobileNetV3Small_1/expanded_conv_5_squeeze_excite_conv_1/BiasAdd;MobileNetV3Small_1/expanded_conv_5_squeeze_excite_conv_1/convolution;,157 161 162 163,2336,15360
MobileNetV3Small_1/re_lu_8_1/Relu6;MobileNetV3Small_1/Add_3;MobileNetV3Small_1/expanded_conv_5_squeeze_excite_conv_1_2/BiasAdd;MobileNetV3Small_1/expanded_conv_5_squeeze_excite_conv_1_2/convolution;,157 161 163 164,2336,15360
MobileNetV3Small_1/Mul_3,157 161 164 165,3040,0
MobileNetV3Small_1/expanded_conv_5_squeeze_excite_mul_1/Mul,157 161 165 166,3040,0
MobileNetV3Small_1/expanded_conv_5_project_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_5_project_1/convolution;,157 166 167,1280,9600
MobileNetV3Small_1/expanded_conv_5_add_1/Add,168 157 167,480,40
MobileNetV3Small_1/expanded_conv_6_expand_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_6_expand_1/convolution;,168 169,640,4800
MobileNetV3Small_1/activation_7_1/mul;;MobileNetV3Small_1/activation_7_1/Relu6;MobileNetV3Small_1/activation_7_1/add;MobileNetV3Small_1/activation_7_1/truediv,169 170,960,0
MobileNetV3Small_1/expanded_conv_6_depthwise_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_6_depthwise_bn_1/batchnorm/mul_1;MobileNetV3Small_1/expanded_conv_6_depthwise_1/depthwise;,170 171,960,3000
MobileNetV3Small_1/activation_8_1/mul;;MobileNetV3Small_1/activation_8_1/Relu6;MobileNetV3Small_1/activation_8_1/add;MobileNetV3Small_1/activation_8_1/truediv,171 172,960,0
MobileNetV3Small_1/expanded_conv_6_squeeze_excite_avg_pool_1/Mean,172 173,960,120
