Id,Name,Shape,Size
0,serving_default_keras_tensor:0,1 1 1 3,12
116,MobileNetV3Small_1/rescaling_1/mul,1 1 1 3,12
117,MobileNetV3Small_1/rescaling_1/add,1 1 1 3,12
118,MobileNetV3Small_1/conv_bn_1/batchnorm/add_1;MobileNetV3Small_1/conv_1/convolution;,1 1 1 16,64
119,MobileNetV3Small_1/activation_1/mul;;MobileNetV3Small_1/activation_1/Relu6;MobileNetV3Small_1/activation_1/add;MobileNetV3Small_1/activation_1/truediv,1 1 1 16,64
120,MobileNetV3Small_1/expanded_conv_depthwise_pad_1/Pad,1 1 1 16,64
121,MobileNetV3Small_1/re_lu_1/Relu;MobileNetV3Small_1/expanded_conv_depthwise_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_depthwise_bn_1/batchnorm/mul_1;MobileNetV3Small_1/expanded_conv_depthwise_1/depthwise;,1 1 1 16,64
122,MobileNetV3Small_1/expanded_conv_squeeze_excite_avg_pool_1/Mean,1 1 1 16,64
123,MobileNetV3Small_1/expanded_conv_squeeze_excite_relu_1/Relu;MobileNetV3Small_1/expanded_conv_squeeze_excite_conv_1/BiasAdd;MobileNetV3Small_1/expanded_conv_squeeze_excite_conv_1/convolution;,1 1 1 8,32
124,MobileNetV3Small_1/re_lu_1_2/Relu6;MobileNetV3Small_1/Add;MobileNetV3Small_1/expanded_conv_squeeze_excite_conv_1_2/BiasAdd;MobileNetV3Small_1/expanded_conv_squeeze_excite_conv_1_2/convolution;,1 1 1 16,64
125,MobileNetV3Small_1/Mul,1 1 1 16,64
126,MobileNetV3Small_1/expanded_conv_squeeze_excite_mul_1/Mul,1 1 1 16,64
127,MobileNetV3Small_1/expanded_conv_project_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_project_1/convolution;,1 1 1 16,64
128,MobileNetV3Small_1/re_lu_2_1/Relu;MobileNetV3Small_1/expanded_conv_1_expand_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_1_expand_1/convolution;,1 1 1 72,288
129,MobileNetV3Small_1/expanded_conv_1_depthwise_pad_1/Pad,1 1 1 72,288
130,MobileNetV3Small_1/re_lu_3_1/Relu;MobileNetV3Small_1/expanded_conv_1_depthwise_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_1_depthwise_bn_1/batchnorm/mul_1;MobileNetV3Small_1/expanded_conv_1_depthwise_1/depthwise;,1 1 1 72,288
131,MobileNetV3Small_1/expanded_conv_1_project_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_1_project_1/convolution;,1 1 1 24,96
132,MobileNetV3Small_1/re_lu_4_1/Relu;MobileNetV3Small_1/expanded_conv_2_expand_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_2_expand_1/convolution;,1 1 1 88,352
133,MobileNetV3Small_1/re_lu_5_1/Relu;MobileNetV3Small_1/expanded_conv_2_depthwise_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_2_depthwise_bn_1/batchnorm/mul_1;MobileNetV3Small_1/expanded_conv_2_depthwise_1/depthwise;,1 1 1 88,352
134,MobileNetV3Small_1/expanded_conv_2_project_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_2_project_1/convolution;,1 1 1 24,96
135,MobileNetV3Small_1/expanded_conv_2_add_1/Add,1 1 1 24,96
136,MobileNetV3Small_1/expanded_conv_3_expand_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_3_expand_1/convolution;,1 1 1 96,384
137,MobileNetV3Small_1/activation_1_2/mul;;MobileNetV3Small_1/activation_1_2/Relu6;MobileNetV3Small_1/activation_1_2/add;MobileNetV3Small_1/activation_1_2/truediv,1 1 1 96,384
138,MobileNetV3Small_1/expanded_conv_3_depthwise_pad_1/Pad,1 1 1 96,384
139,MobileNetV3Small_1/expanded_conv_3_depthwise_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_3_depthwise_bn_1/batchnorm/mul_1;MobileNetV3Small_1/expanded_conv_3_depthwise_1/depthwise;,1 1 1 96,384
