Id,Name,Shape,Size
0,serving_default_keras_tensor:0,1 224 224 3,602112
112,resnet50_1/conv1_pad_1/Pad,1 230 230 3,634800
113,resnet50_1/conv1_relu_1/Relu;resnet50_1/conv1_bn_1/batchnorm/add_1;resnet50_1/conv1_bn_1/batchnorm/mul_1;;resnet50_1/conv1_conv_1/BiasAdd;resnet50_1/conv1_conv_1/convolution,1 112 112 64,3211264
114,resnet50_1/pool1_pad_1/Pad,1 114 114 64,3326976
115,resnet50_1/pool1_pool_1/MaxPool2d,1 56 56 64,802816
116,resnet50_1/conv2_block1_0_bn_1/batchnorm/add_1;resnet50_1/conv2_block1_0_conv_1/convolution;,1 56 56 256,3211264
117,resnet50_1/conv2_block1_1_relu_1/Relu;resnet50_1/conv2_block1_1_bn_1/batchnorm/add_1;resnet50_1/conv2_block1_1_conv_1/convolution;,1 56 56 64,802816
118,resnet50_1/conv2_block1_2_relu_1/Relu;resnet50_1/conv2_block1_2_bn_1/batchnorm/add_1;resnet50_1/conv2_block1_2_conv_1/convolution;,1 56 56 64,802816
119,resnet50_1/conv2_block1_3_bn_1/batchnorm/add_1;resnet50_1/conv2_block1_3_conv_1/convolution;,1 56 56 256,3211264
120,resnet50_1/conv2_block1_out_1/Relu;resnet50_1/conv2_block1_add_1/Add,1 56 56 256,3211264
121,resnet50_1/conv2_block2_1_relu_1/Relu;resnet50_1/conv2_block2_1_bn_1/batchnorm/add_1;resnet50_1/conv2_block2_1_conv_1/convolution;,1 56 56 64,802816
122,resnet50_1/conv2_block2_2_relu_1/Relu;resnet50_1/conv2_block2_2_bn_1/batchnorm/add_1;resnet50_1/conv2_block2_2_conv_1/convolution;,1 56 56 64,802816
123,resnet50_1/conv2_block2_3_bn_1/batchnorm/add_1;resnet50_1/conv2_block2_3_bn_1/batchnorm/mul_1;;resnet50_1/conv2_block2_3_conv_1/BiasAdd;resnet50_1/conv2_block2_3_conv_1/convolution,1 56 56 256,3211264
124,resnet50_1/conv2_block2_out_1/Relu;resnet50_1/conv2_block2_add_1/Add,1 56 56 256,3211264
125,resnet50_1/conv2_block3_1_relu_1/Relu;resnet50_1/conv2_block3_1_bn_1/batchnorm/add_1;resnet50_1/conv2_block3_1_conv_1/convolution;,1 56 56 64,802816
126,resnet50_1/conv2_block3_2_relu_1/Relu;resnet50_1/conv2_block3_2_bn_1/batchnorm/add_1;resnet50_1/conv2_block3_2_conv_1/convolution;,1 56 56 64,802816
127,resnet50_1/conv2_block3_3_bn_1/batchnorm/add_1;resnet50_1/conv2_block3_3_bn_1/batchnorm/mul_1;;resnet50_1/conv2_block3_3_conv_1/BiasAdd;resnet50_1/conv2_block3_3_conv_1/convolution,1 56 56 256,3211264
128,resnet50_1/conv2_block3_out_1/Relu;resnet50_1/conv2_block3_add_1/Add,1 56 56 256,3211264
129,resnet50_1/conv3_block1_0_bn_1/batchnorm/add_1;resnet50_1/conv3_block1_0_conv_1/convolution;,1 28 28 512,1605632
