Id,Name,Shape,Size
0,serving_default_keras_tensor:0,1 299 299 3,1072812
124,xception_1/block1_conv1_act_1/Relu;xception_1/block1_conv1_bn_1/batchnorm/add_1;xception_1/block1_conv1_1/convolution;1,1 149 149 32,2841728
125,xception_1/block1_conv2_act_1/Relu;xception_1/block1_conv2_bn_1/batchnorm/add_1;xception_1/block1_conv2_1/convolution;,1 147 147 64,5531904
126,xception_1/block2_sepconv1_1/separable_conv2d/depthwise,1 147 147 64,5531904
127,xception_1/block2_sepconv2_act_1/Relu;xception_1/block2_sepconv1_bn_1/batchnorm/add_1;xception_1/block2_sepconv1_1/separable_conv2d;,1 147 147 128,11063808
128,xception_1/block2_sepconv2_1/separable_conv2d/depthwise,1 147 147 128,11063808
129,xception_1/block2_sepconv2_bn_1/batchnorm/add_1;xception_1/block2_sepconv2_1/separable_conv2d;,1 147 147 128,11063808
130,xception_1/block2_pool_1/MaxPool2d,1 74 74 128,2803712
131,xception_1/batch_normalization_1/batchnorm/add_1;xception_1/conv2d_1/convolution;xception_1/batch_normalization_1/batchnorm/sub,1 74 74 128,2803712
132,xception_1/add_1/Add,1 74 74 128,2803712
133,xception_1/block3_sepconv1_act_1/Relu,1 74 74 128,2803712
134,xception_1/block3_sepconv1_1/separable_conv2d/depthwise,1 74 74 128,2803712
135,xception_1/block3_sepconv2_act_1/Relu;xception_1/block3_sepconv1_bn_1/batchnorm/add_1;xception_1/block3_sepconv1_1/separable_conv2d;,1 74 74 256,5607424
136,xception_1/block3_sepconv2_1/separable_conv2d/depthwise,1 74 74 256,5607424
137,xception_1/block3_sepconv2_bn_1/batchnorm/add_1;xception_1/block3_sepconv2_1/separable_conv2d;,1 74 74 256,5607424
138,xception_1/block3_pool_1/MaxPool2d,1 37 37 256,1401856
139,xception_1/batch_normalization_1_2/batchnorm/add_1;xception_1/conv2d_1_2/convolution;xception_1/batch_normalization_1_2/batchnorm/sub,1 37 37 256,1401856
140,xception_1/add_1_2/Add,1 37 37 256,1401856
141,xception_1/block4_sepconv1_act_1/Relu,1 37 37 256,1401856
142,xception_1/block4_sepconv1_1/separable_conv2d/depthwise,1 37 37 256,1401856
143,xception_1/block4_sepconv2_act_1/Relu;xception_1/block4_sepconv1_bn_1/batchnorm/add_1;xception_1/block4_sepconv1_1/separable_conv2d;,1 37 37 728,3986528
144,xception_1/block4_sepconv2_1/separable_conv2d/depthwise,1 37 37 728,3986528
145,xception_1/block4_sepconv2_bn_1/batchnorm/add_1;xception_1/block4_sepconv2_1/separable_conv2d;,1 37 37 728,3986528
146,xception_1/block4_pool_1/MaxPool2d,1 19 19 728,1051232
147,xception_1/batch_normalization_2_1/batchnorm/add_1;xception_1/conv2d_2_1/convolution;xception_1/batch_normalization_2_1/batchnorm/sub,1 19 19 728,1051232
148,xception_1/add_2_1/Add,1 19 19 728,1051232
149,xception_1/block5_sepconv1_act_1/Relu,1 19 19 728,1051232
150,xception_1/block5_sepconv1_1/separable_conv2d/depthwise,1 19 19 728,1051232
151,xception_1/block5_sepconv2_act_1/Relu;xception_1/block5_sepconv1_bn_1/batchnorm/add_1;xception_1/block5_sepconv1_1/separable_conv2d;,1 19 19 728,1051232
152,xception_1/block5_sepconv2_1/separable_conv2d/depthwise,1 19 19 728,1051232
153,xception_1/block5_sepconv3_act_1/Relu;xception_1/block5_sepconv2_bn_1/batchnorm/add_1;xception_1/block5_sepconv2_1/separable_conv2d;,1 19 19 728,1051232
154,xception_1/block5_sepconv3_1/separable_conv2d/depthwise,1 19 19 728,1051232
155,xception_1/block5_sepconv3_bn_1/batchnorm/add_1;xception_1/block5_sepconv3_1/separable_conv2d;,1 19 19 728,1051232
156,xception_1/add_3_1/Add,1 19 19 728,1051232
157,xception_1/block6_sepconv1_act_1/Relu,1 19 19 728,1051232
158,xception_1/block6_sepconv1_1/separable_conv2d/depthwise,1 19 19 728,1051232
159,xception_1/block6_sepconv2_act_1/Relu;xception_1/block6_sepconv1_bn_1/batchnorm/add_1;xception_1/block6_sepconv1_1/separable_conv2d;,1 19 19 728,1051232
160,xception_1/block6_sepconv2_1/separable_conv2d/depthwise,1 19 19 728,1051232
161,xception_1/block6_sepconv3_act_1/Relu;xception_1/block6_sepconv2_bn_1/batchnorm/add_1;xception_1/block6_sepconv2_1/separable_conv2d;,1 19 19 728,1051232
162,xception_1/block6_sepconv3_1/separable_conv2d/depthwise,1 19 19 728,1051232
163,xception_1/block6_sepconv3_bn_1/batchnorm/add_1;xception_1/block6_sepconv3_1/separable_conv2d;,1 19 19 728,1051232
164,xception_1/add_4_1/Add,1 19 19 728,1051232
165,xception_1/block7_sepconv1_act_1/Relu,1 19 19 728,1051232
166,xception_1/block7_sepconv1_1/separable_conv2d/depthwise,1 19 19 728,1051232
167,xception_1/block7_sepconv2_act_1/Relu;xception_1/block7_sepconv1_bn_1/batchnorm/add_1;xception_1/block7_sepconv1_1/separable_conv2d;,1 19 19 728,1051232
168,xception_1/block7_sepconv2_1/separable_conv2d/depthwise,1 19 19 728,1051232
169,xception_1/block7_sepconv3_act_1/Relu;xception_1/block7_sepconv2_bn_1/batchnorm/add_1;xception_1/block7_sepconv2_1/separable_conv2d;,1 19 19 728,1051232
170,xception_1/block7_sepconv3_1/separable_conv2d/depthwise,1 19 19 728,1051232
171,xception_1/block7_sepconv3_bn_1/batchnorm/add_1;xception_1/block7_sepconv3_1/separable_conv2d;,1 19 19 728,1051232
172,xception_1/add_5_1/Add,1 19 19 728,1051232
173,xception_1/block8_sepconv1_act_1/Relu,1 19 19 728,1051232
174,xception_1/block8_sepconv1_1/separable_conv2d/depthwise,1 19 19 728,1051232
175,xception_1/block8_sepconv2_act_1/Relu;xception_1/block8_sepconv1_bn_1/batchnorm/add_1;xception_1/block8_sepconv1_1/separable_conv2d;,1 19 19 728,1051232
176,xception_1/block8_sepconv2_1/separable_conv2d/depthwise,1 19 19 728,1051232
