Id,Name,Shape,Size
0,serving_default_keras_tensor_121:0,1 640 640 3,4915200
146,tfl.dequantize,255,1020
147,tfl.dequantize1,255,1020
148,tfl.dequantize2,255,1020
149,tfl.dequantize3,256,1024
150,tfl.dequantize4,128,512
151,tfl.dequantize5,128,512
152,tfl.dequantize6,128,512
153,tfl.dequantize7,128,512
154,tfl.dequantize8,128,512
155,tfl.dequantize9,128,512
156,tfl.dequantize10,64,256
157,tfl.dequantize11,64,256
158,tfl.dequantize12,64,256
159,tfl.dequantize13,64,256
160,tfl.dequantize14,64,256
161,tfl.dequantize15,64,256
162,tfl.dequantize16,32,128
163,tfl.dequantize17,32,128
164,tfl.dequantize18,32,128
165,tfl.dequantize19,32,128
166,tfl.dequantize20,64,256
167,tfl.dequantize21,128,512
168,tfl.dequantize22,64,256
169,tfl.dequantize23,64,256
170,tfl.dequantize24,64,256
171,tfl.dequantize25,64,256
172,tfl.dequantize26,128,512
173,tfl.dequantize27,256,1024
174,tfl.dequantize28,128,512
175,tfl.dequantize29,256,1024
176,tfl.dequantize30,128,512
177,tfl.dequantize31,128,512
178,tfl.dequantize32,128,512
179,tfl.dequantize33,128,512
180,tfl.dequantize34,256,1024
181,tfl.dequantize35,128,512
182,tfl.dequantize36,64,256
183,tfl.dequantize37,64,256
184,tfl.dequantize38,64,256
185,tfl.dequantize39,64,256
186,tfl.dequantize40,64,256
187,tfl.dequantize41,64,256
188,tfl.dequantize42,64,256
189,tfl.dequantize43,64,256
190,tfl.dequantize44,128,512
191,tfl.dequantize45,64,256
192,tfl.dequantize46,32,128
193,tfl.dequantize47,32,128
194,tfl.dequantize48,32,128
195,tfl.dequantize49,32,128
196,tfl.dequantize50,32,128
197,tfl.dequantize51,32,128
198,tfl.dequantize52,64,256
199,tfl.dequantize53,32,128
200,tfl.dequantize54,16,64
201,tfl.dequantize55,16,64
202,tfl.dequantize56,16,64
203,tfl.dequantize57,16,64
204,tfl.dequantize58,32,128
205,tfl.dequantize59,255 1 1 64,65280
206,tfl.dequantize60,255 1 1 128,130560
207,tfl.dequantize61,255 1 1 256,261120
208,tfl.dequantize62,256 1 1 256,262144
209,tfl.dequantize63,128 1 1 256,131072
210,tfl.dequantize64,128 3 3 128,589824
211,tfl.dequantize65,128 1 1 128,65536
212,tfl.dequantize66,128 1 1 256,131072
213,tfl.dequantize67,128 3 3 128,589824
214,tfl.dequantize68,128 1 1 128,65536
215,tfl.dequantize69,64 1 1 128,32768
216,tfl.dequantize70,64 3 3 64,147456
217,tfl.dequantize71,64 1 1 64,16384
218,tfl.dequantize72,64 1 1 128,32768
219,tfl.dequantize73,64 3 3 64,147456
220,tfl.dequantize74,64 1 1 64,16384
